id;hospital_id;bed_id;type;capacity;occupied;blocked;vacant;created_on;updated_on;updated_by_msg_id;audited_on
1;Money Market Account;Buckinghamshire hard drive matrices;Rustic Auto Loan Account Israel;7339;33142;3169;6487;2021-05-13T03:28:31;2021-05-13T05:39:13;Shoes Refined;2021-05-13T04:19:33
2;Home Loan Account Metal;red Operations invoice;Mountains Fresh;44999;58247;72647;33748;2021-05-12T19:51:04;2021-05-13T00:50:24;deposit;2021-05-13T04:33:39
3;Implementation;Beauty District;quantify Auto Loan Account RSS;66818;8421;78094;92800;2021-05-12T15:30:10;2021-05-12T06:34:36;Rial Omani Table Technician;2021-05-13T04:15:18
4;projection Generic Rubber Pants Personal Loan Account;Small Won Croatian Kuna;hack;80748;20660;95147;59598;2021-05-12T15:55:05;2021-05-12T13:05:55;multi-state;2021-05-12T09:39:51
5;Lao People's Democratic Republic multi-tasking;Plastic;withdrawal Representative;20816;25091;49994;34940;2021-05-12T07:27:21;2021-05-12T14:54:23;Gorgeous bypass;2021-05-12T22:02:46
6;Berkshire system;recontextualize;generating;68227;39359;7837;62181;2021-05-12T18:12:18;2021-05-12T10:26:23;functionalities synthesize New Israeli Sheqel;2021-05-12T09:29:53
7;help-desk Specialist Forward;Licensed Metal Salad Pants;iterate;36983;93048;80881;1067;2021-05-12T15:25:11;2021-05-12T22:35:57;Motorway Optimization Bedfordshire;2021-05-12T14:58:26
8;Optimization;Movies;indexing Agent;33717;60657;9552;31375;2021-05-12T15:05:42;2021-05-13T03:18:16;SQL Afghanistan;2021-05-12T21:32:09
9;Data Granite Turkish Lira;synthesize generating Digitized;Stream Cotton;31382;21409;95016;22670;2021-05-13T02:51:30;2021-05-12T07:36:20;calculate;2021-05-12T14:25:57
10;database;Dynamic purple;reboot Avon navigate;84227;99305;46461;12432;2021-05-12T13:40:29;2021-05-12T09:50:15;Buckinghamshire;2021-05-13T01:08:00
