id;hospital_id;bed_id;type;capacity;occupied;blocked;vacant;created_on;updated_on;updated_by_msg_id;audited_on
1;Money Market Account;Buckinghamshire hard drive matrices;Rustic Auto Loan Account Israel;7339;33142;3169;6487;2021-05-16T01:01:53;2021-05-16T03:12:35;Shoes Refined;2021-05-16T01:52:55
2;Home Loan Account Metal;red Operations invoice;Mountains Fresh;44999;58247;72647;33748;2021-05-15T17:24:26;2021-05-15T22:23:46;deposit;2021-05-16T02:07:01
3;Implementation;Beauty District;quantify Auto Loan Account RSS;66818;8421;78094;92800;2021-05-15T13:03:32;2021-05-15T04:07:58;Rial Omani Table Technician;2021-05-16T01:48:40
4;projection Generic Rubber Pants Personal Loan Account;Small Won Croatian Kuna;hack;80748;20660;95147;59598;2021-05-15T13:28:27;2021-05-15T10:39:17;multi-state;2021-05-15T07:13:13
5;Lao People's Democratic Republic multi-tasking;Plastic;withdrawal Representative;20816;25091;49994;34940;2021-05-15T05:00:43;2021-05-15T12:27:45;Gorgeous bypass;2021-05-15T19:36:08
6;Berkshire system;recontextualize;generating;68227;39359;7837;62181;2021-05-15T15:45:40;2021-05-15T07:59:45;functionalities synthesize New Israeli Sheqel;2021-05-15T07:03:15
7;help-desk Specialist Forward;Licensed Metal Salad Pants;iterate;36983;93048;80881;1067;2021-05-15T12:58:33;2021-05-15T20:09:19;Motorway Optimization Bedfordshire;2021-05-15T12:31:48
8;Optimization;Movies;indexing Agent;33717;60657;9552;31375;2021-05-15T12:39:04;2021-05-16T00:51:38;SQL Afghanistan;2021-05-15T19:05:31
9;Data Granite Turkish Lira;synthesize generating Digitized;Stream Cotton;31382;21409;95016;22670;2021-05-16T00:24:52;2021-05-15T05:09:42;calculate;2021-05-15T11:59:19
10;database;Dynamic purple;reboot Avon navigate;84227;99305;46461;12432;2021-05-15T11:13:51;2021-05-15T07:23:37;Buckinghamshire;2021-05-15T22:41:22
